Great Plains	意味: グレートプレーンズ（北米中央部に広がる広大な草原地帯）\nアクセント: grāt plānz\n類義語: prairies, grasslands, steppes
aboriginal	意味: 先住民の、原住民の；土着の\nアクセント: àb-ə-RĬJ-ə-nəl\n類義語: indigenous, native, original
oriented	意味: 〜を志向した、〜に適応した；方向づけられた\n基本形: orient\nアクセント: ÔR-ē-ĕnt\n類義語: directed, aligned, focused
centered	意味: 〜を中心とした、〜に集中した\n基本形: center\nアクセント: SĔN-tərd\n類義語: focused, based, concentrated
subsistence	意味: 生計、生存のための最低限の暮らし；自給自足\nアクセント: səb-SĬS-təns\n類義語: survival, livelihood, sustenance
cultivation	意味: 耕作、栽培；文化・教養の涵養\nアクセント: kùl-tə-VĀ-shən\n類義語: farming, agriculture, tillage
squash	意味: カボチャ類（ウリ科の野菜の総称）；押しつぶす\nアクセント: skwäsh\n類義語: gourd, pumpkin, zucchini
tribes	意味: 部族、種族（共通の文化・言語・祖先を持つ集団）\n基本形: tribe\nアクセント: trīb\n類義語: clans, peoples, communities
bison hunt	意味: バイソン（アメリカ野牛）の狩猟\nアクセント: BĪ-sən hənt\n類義語: buffalo hunt, game hunt, wildlife pursuit
supplement	意味: 補足する、補う；補足物、サプリメント\nアクセント: SŬP-lə-mənt（名詞・動詞共通）\n類義語: augment, complement, enhance
obtain	意味: 得る、入手する、獲得する\nアクセント: əb-TĀN\n類義語: acquire, procure, gain
hides	意味: （動物の）皮、獣皮；隠れる\n基本形: hide\nアクセント: hīd\n類義語: pelts, skins, furs
sinew	意味: 腱（けん）；筋力、力の源\nアクセント: SĬN-yoo\n類義語: tendon, ligament, fiber
raw materials	意味: 原材料、素材（加工される前の自然素材）\nアクセント: rô mə-TÎER-ē-əlz\n類義語: resources, natural materials, unprocessed goods
Spaniards	意味: スペイン人（複数）\n基本形: Spaniard\nアクセント: SPĂN-yərd\n類義語: Spanish people, Iberian settlers, conquistadors
mobility	意味: 移動性、機動力；社会的流動性\nアクセント: mō-BĬL-ĭ-tē\n類義語: movement, flexibility, portability
convergence	意味: 集中、収束；（文化・人々などの）融合、集まり\nアクセント: kən-VÛR-jəns\n類義語: merging, confluence, gathering
diverse	意味: 多様な、さまざまな\nアクセント: dī-VÛRS\n類義語: varied, assorted, heterogeneous
wealth	意味: 富、財産；豊富さ\nアクセント: wĕlth\n類義語: prosperity, riches, abundance
afforded	意味: 〜を与えた、もたらした；（金銭的に）余裕があった\n基本形: afford\nアクセント: ə-FÔRD\n類義語: provided, offered, granted
introduction	意味: 導入、持ち込み；紹介、序論\nアクセント: ìn-trə-DŬK-shən\n類義語: introduction, adoption, incorporation
tripled	意味: 3倍になった；3倍にした\n基本形: triple\nアクセント: TRĬP-əl\n類義語: increased threefold, grew three times, multiplied
estimated	意味: 推定された、〜と見積もられた\n基本形: estimate\nアクセント: ĔS-tĭ-māt\n類義語: approximated, calculated, assessed
established	意味: 確立された、設立された；定着した\n基本形: establish\nアクセント: ĭ-STĂB-lĭsht\n類義語: founded, set up, institutionalized
dependent	意味: 依存している、頼っている（on/upon）\nアクセント: dĭ-PĔN-dənt\n類義語: reliant, contingent, subject to
abandoned	意味: 捨てた、放棄した；やめた\n基本形: abandon\nアクセント: ə-BĂN-dənd\n類義語: deserted, forsaken, gave up
indigenous	意味: 先住の、土着の；その土地固有の\nアクセント: ĭn-DĬJ-ə-nəs\n類義語: native, aboriginal, endemic
nomadic	意味: 遊牧の、遊牧民的な；一定の居住地を持たない\nアクセント: nō-MĂD-ĭk\n類義語: wandering, migratory, itinerant
gardening	意味: 園芸、菜園耕作；農作物の栽培\n基本形: garden\nアクセント: GÄR-dən-ĭng\n類義語: farming, horticulture, cultivation
as profitable as	意味: ～と同じくらい利益がある、～と同じくらい採算が取れる\n類義語: as lucrative as, equally profitable as, as gainful as
