amending	改正している；修正している
constitution	憲法；構成
Constitution	（米国の）合衆国憲法
amended	改正された；修正された
effect	効果；影響；（法・規則などを）発効させる
amendments	改正条項；修正
consist	成る；構成される
the Bill of Rights	権利章典
amendment	改正；修正条項
time-consuming	時間のかかる
cumbersome	扱いにくい；煩雑な
the land	国土；（比喩的に）国家
subject	主題；被験者；〜に従わせる；〜の支配下にある
the whims of special-interest	特殊利益集団の気まぐれ（思惑）
factions	派閥；党派
majority of the population	人口の大多数
any given time	任意のある時点；その時々
constitution	憲法；構成
confine	制限する；閉じ込める
primarily	主として；第一に
procedures	手続き；手順
By coontrast	対照的に（※ contrast の綴り違いと考えられる）
constitution	憲法；構成
lenghy	長い；冗長な（※ lengthy の綴り違いと考えられる）
amounts to	〜に相当する；結局〜になる
statue law	制定法（※ statute law の綴り違いと考えられる）
frequent	頻繁な；しばしば訪れる
embodies	具現化する；含む
provisions	条項；規定；準備
guarantee	保証；保証する
employment	雇用；就業
fail	失敗する；果たせない
live up	（期待・基準に）応える
promises	約束；公約；約束する
Prohibitaion Amendment	禁酒法修正条項（※ Prohibition Amendment の綴り違いと考えられる）
prohibiting	禁止している
beverages	飲料
represented	代表した；示した
desires	欲求；願望；望む
substantial	かなりの；実質的な
faction	派閥；分派
prooved	証明した（※ proved/proven の綴り違いと考えられる）
unenfoceable	強制できない（※ unenforceable の綴り違いと考えられる）
muserably	みじめに；ひどく（※ miserably の綴り違いと考えられる）
disliked	嫌われた；嫌った
obey	従う；守る
repealed	廃止された；撤回された
withdrawn	撤回された；取り下げられた
Amendment	改正条項；修正
