Fluid mechanics	意味: 流体力学\nアクセント: FLU-id mə-KAN-iks\n類義語: hydrodynamics, fluid dynamics, continuum mechanics
liquids	意味: 液体（複数）\n基本形: liquid\nアクセント: LIK-wid\n類義語: fluids, solutions, liquids phase
behave	意味: 振る舞う；作用する\nアクセント: bi-HAYV\n類義語: act, function, respond
veins	意味: 静脈；脈状の筋\n基本形: vein\nアクセント: VAYN\n類義語: vessels, channels, streaks
solid objects	意味: 固体の物体\nアクセント: SOL-id OB-jekts\n類義語: rigid bodies, solids, hard objects
shape	意味: 形；形作る\nアクセント: SHAYP\n類義語: form, contour, mold
take the shape	意味: 形をとる\nアクセント: tayk thə SHAYP\n類義語: conform to, assume form, fit into
container	意味: 容器\nアクセント: kən-TAY-nər\n類義語: vessel, receptacle, holder
fluid	意味: 流体；流動的な\nアクセント: FLU-id\n類義語: liquid, flowing matter, medium
predict	意味: 予測する\nアクセント: pri-DIKT\n類義語: forecast, anticipate, project
fluid flow	意味: 流体の流れ\nアクセント: FLU-id floh\n類義語: flow regime, stream motion, current
laminar flow	意味: 層流\nアクセント: LAM-ə-nər floh\n類義語: streamline flow, smooth flow, layered flow
orderly	意味: 整然とした\nアクセント: OR-dər-lee\n類義語: organized, systematic, regular
turbulent flow	意味: 乱流\nアクセント: TUR-byə-lənt floh\n類義語: chaotic flow, eddying flow, irregular flow
chaotic	意味: 混沌とした\nアクセント: kay-OT-ik\n類義語: disorderly, random, unstable
swirling	意味: 渦巻く\nアクセント: SWUR-ling\n類義語: whirling, eddying, spiraling
applies	意味: 適用される；当てはまる\n基本形: apply\nアクセント: ə-PLY\n類義語: pertains, relates, is relevant
surfaces	意味: 表面（複数）\n基本形: surface\nアクセント: SUR-fis\n類義語: exteriors, interfaces, outer layers
lift off	意味: 離陸する；浮き上がる\nアクセント: lift AWF\n類義語: take off, rise, launch
lets us shower	意味: 私たちがシャワーを使えるようにする\nアクセント: lets us SHOU-ər\n類義語: enables bathing, allows rinsing, provides showering
buoyancy	意味: 浮力\nアクセント: BOY-ən-see\n類義語: uplift, floatation, upthrust
fluids	意味: 流体（複数）\n基本形: fluid\nアクセント: FLU-idz\n類義語: liquids, gases, flow media
push up	意味: 押し上げる\nアクセント: push UP\n類義語: raise, lift, thrust upward
on objects	意味: 物体に対して\nアクセント: on OB-jekts\n類義語: upon bodies, on items, on materials
forecasting	意味: 予報；予測\nアクセント: FOR-kas-ting\n類義語: prediction, projection, outlook
predicting	意味: 予測すること\nアクセント: pri-DIK-ting\n類義語: forecasting, anticipating, estimating
plays a big role	意味: 大きな役割を果たす\nアクセント: playz ə BIG-ər rohl\n類義語: is crucial, is significant, matters greatly
In short	意味: 要するに\nアクセント: in SHORT\n類義語: briefly, in summary, to sum up
invisible	意味: 目に見えない\nアクセント: in-VIZ-ə-bəl\n類義語: unseen, imperceptible, hidden
